section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,1,1,2101.0,85184.69741167533,86051.2913038816,68822.20140528242,40.54483456053085,40.95730190570281,32.75687834616013,-0.01017311698623824,0.19208257472955792,0.2002188420131472
BUCKET,1,2,902.0,26839.492293744835,26911.646384651976,19478.28233483947,29.755534693730418,29.835528142629684,21.59454804305928,-0.002688355283231525,0.2742678541881717,0.2762136490486825
BUCKET,1,3,712.0,20854.914538334622,20526.037609434963,11997.552528969138,29.29061030664975,28.828704507633375,16.850495124956655,0.015769756730248496,0.4247134167384985,0.4154959297427009
BUCKET,1,4,501.0,15250.087353194216,16060.276053639616,9822.003368533167,30.43929611416011,32.05643922882159,19.60479714278077,-0.05312682358345322,0.35593789458026326,0.38842873337116257
BUCKET,1,5,495.0,13952.39787601179,15129.674360340905,7791.972132148008,28.186662375781392,30.564998707759404,15.741357842723248,-0.08437807571078482,0.44153168499124706,0.4849874526993826
BUCKET,1,6,222.0,7511.7385238007555,7699.422210763445,4512.129640522617,33.83666001712052,34.68208203046597,20.32490829064242,-0.02498538605517453,0.39932285632333353,0.4139651629683506
BUCKET,1,7,193.0,6633.475269561935,7132.999819703877,3604.786393945552,34.370338184258735,36.958548288621124,18.677649709562445,-0.07530359726130853,0.45657649309611337,0.49463248492060063
BUCKET,2,1,1812.0,271878.10578494944,276449.2474178948,219135.28937951394,150.04310473783082,152.56580983327527,120.93559016529467,-0.016813202445073117,0.1939943499795974,0.20732180888068086
BUCKET,2,2,741.0,86953.10882969931,90633.79101738163,63671.31464794678,117.34562595101121,122.31280839052852,85.92620060451658,-0.04232950652622525,0.2677511419097244,0.29748812299227356
BUCKET,2,3,653.0,77574.70798884246,83006.25417947266,46968.628909737956,118.79740886499611,127.1152437664206,71.92745621705659,-0.07001697243141947,0.3945368261457918,0.43415554196453265
BUCKET,2,4,555.0,66809.67371557132,76426.59318393347,44276.230357202585,120.37779047850688,137.70557330438461,79.77699163459926,-0.14394501474897536,0.33727815307556086,0.42066984131237695
BUCKET,2,5,532.0,58066.07397067486,67202.5606948691,35737.628783102744,109.14675558397529,126.32060280990432,67.17599395320065,-0.15734638317046268,0.38453512801379786,0.4682103120241472
BUCKET,2,6,276.0,37956.770810423914,40488.28740245265,25289.40718014408,137.52453192182577,146.6966934871473,91.62828688458,-0.0666947302939036,0.3337313306642262,0.3753895557802198
BUCKET,2,7,109.0,15075.239991035007,17168.46072203166,8996.014297646105,138.30495404619273,157.5088139635932,82.5322412628083,-0.13885156934426623,0.4032589661593524,0.4760150928322976
BUCKET,3,1,1803.0,562984.512524833,590296.7026690412,463606.9261051826,312.2487590265297,327.39695100889696,257.1308519718151,-0.048513217569201794,0.17651921892836586,0.2146205052324156
